,Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
0,2011,Female,Hispanic,Geraldine,13,75
1,2011,Female,Hispanic,Gia,21,67
2,2011,Female,Hispanic,Gianna,49,42
3,2011,Female,Hispanic,Giselle,38,51
4,2011,Female,Hispanic,Grace,36,53
5,2011,Female,Hispanic,Guadalupe,26,62
6,2011,Female,Hispanic,Hailey,126,8
7,2011,Female,Hispanic,Haley,14,74
8,2011,Female,Hispanic,Hannah,17,71
9,2011,Female,Hispanic,Haylee,17,71
10,2011,Female,Hispanic,Hayley,13,75
11,2011,Female,Hispanic,Hazel,10,78
12,2011,Female,Hispanic,Heaven,15,73
13,2011,Female,Hispanic,Heidi,15,73
14,2011,Female,Hispanic,Heidy,16,72
15,2011,Female,Hispanic,Helen,13,75
16,2011,Female,Hispanic,Imani,11,77
17,2011,Female,Hispanic,Ingrid,11,77
18,2011,Female,Hispanic,Irene,11,77
19,2011,Female,Hispanic,Iris,10,78
20,2011,Female,Hispanic,Isabel,28,60
21,2011,Female,Hispanic,Isabela,10,78
22,2011,Female,Hispanic,Isabella,331,1
23,2011,Female,Hispanic,Isabelle,18,70
24,2011,Female,Hispanic,Isis,13,75
25,2011,Female,Hispanic,Itzel,27,61
26,2011,Female,Hispanic,Izabella,23,65
27,2011,Female,Hispanic,Jacqueline,30,58
28,2011,Female,Hispanic,Jada,21,67
29,2011,Female,Hispanic,Jade,50,41
30,2011,Female,Hispanic,Jaelynn,11,77
31,2011,Female,Hispanic,Jamie,11,77
32,2011,Female,Hispanic,Janelle,12,76
33,2011,Female,Hispanic,Jaslene,11,77
34,2011,Female,Hispanic,Jasmin,20,68
35,2011,Female,Hispanic,Jasmine,41,48
36,2011,Female,Hispanic,Jayda,10,78
37,2011,Female,Hispanic,Jayla,33,55
38,2011,Female,Hispanic,Jaylah,12,76
39,2011,Female,Hispanic,Jayleen,51,40
40,2011,Female,Hispanic,Jaylene,22,66
41,2011,Female,Hispanic,Jaylin,13,75
42,2011,Female,Hispanic,Jaylyn,10,78
43,2011,Female,Hispanic,Jazlyn,16,72
44,2011,Female,Hispanic,Jazmin,24,64
45,2011,Female,Hispanic,Jazmine,14,74
46,2011,Female,Hispanic,Jennifer,59,34
47,2011,Female,Hispanic,Jessica,46,44
48,2011,Female,Hispanic,Jimena,11,77
49,2011,Female,Hispanic,Jocelyn,46,44
50,2011,Female,Hispanic,Johanna,12,76
51,2011,Female,Hispanic,Joselyn,30,58
52,2011,Female,Hispanic,Julia,22,66
53,2011,Female,Hispanic,Juliana,16,72
54,2011,Female,Hispanic,Julianna,21,67
55,2011,Female,Hispanic,Juliet,20,68
56,2011,Female,Hispanic,Juliette,15,73
57,2011,Female,Hispanic,Julissa,16,72
58,2011,Female,Hispanic,Kaelyn,11,77
59,2011,Female,Hispanic,Kailey,20,68
60,2011,Female,Hispanic,Kailyn,11,77
61,2011,Female,Hispanic,Kaitlyn,31,57
62,2011,Female,Hispanic,Kamila,36,53
63,2011,Female,Hispanic,Karen,41,48
64,2011,Female,Hispanic,Karla,25,63
65,2011,Female,Hispanic,Kate,27,61
66,2011,Female,Hispanic,Katelyn,23,65
67,2011,Female,Hispanic,Katelynn,10,78
68,2011,Female,Hispanic,Katherine,60,33
69,2011,Female,Hispanic,Katie,12,76
70,2011,Female,Hispanic,Kayla,62,31
71,2011,Female,Hispanic,Kaylee,83,20
72,2011,Female,Hispanic,Kayleen,19,69
73,2011,Female,Hispanic,Kayleigh,10,78
74,2011,Female,Hispanic,Kaylie,15,73
75,2011,Female,Hispanic,Kaylin,12,76
76,2011,Female,Hispanic,Keily,17,71
77,2011,Female,Hispanic,Kelly,41,48
78,2011,Female,Hispanic,Keyla,12,76
79,2011,Female,Hispanic,Khloe,57,35
80,2011,Female,Hispanic,Kiara,36,53
81,2011,Female,Hispanic,Kimberly,103,13
82,2011,Female,Hispanic,Krystal,13,75
83,2011,Female,Hispanic,Kylee,10,78
84,2011,Female,Hispanic,Kylie,37,52
85,2011,Female,Hispanic,Laila,29,59
86,2011,Female,Hispanic,Laura,14,74
87,2011,Female,Hispanic,Lauren,21,67
88,2011,Female,Hispanic,Layla,52,39
89,2011,Female,Hispanic,Lea,10,78
90,2011,Female,Hispanic,Leah,123,9
91,2011,Female,Hispanic,Leila,20,68
92,2011,Female,Hispanic,Leilani,33,55
93,2011,Female,Hispanic,Lesley,12,76
94,2011,Female,Hispanic,Leslie,66,27
95,2011,Female,Hispanic,Lesly,16,72
96,2011,Female,Hispanic,Leyla,10,78
97,2011,Female,Hispanic,Lia,26,62
98,2011,Female,Hispanic,Liana,18,70
99,2011,Female,Hispanic,Liliana,28,60
100,2011,Female,Hispanic,Lily,21,67
101,2011,Female,Hispanic,Lindsay,12,76
102,2011,Female,Hispanic,Lizbeth,30,58
103,2011,Female,Hispanic,London,27,61
104,2011,Female,Hispanic,Lucia,20,68
105,2011,Female,Hispanic,Luna,24,64
106,2011,Female,Hispanic,Luz,25,63
107,2011,Female,Hispanic,Madeline,15,73
108,2011,Female,Hispanic,Madelyn,16,72
109,2011,Female,Hispanic,Madison,122,10
110,2011,Female,Hispanic,Makayla,32,56
111,2011,Female,Hispanic,Maria,59,34
112,2011,Female,Hispanic,Mariah,33,55
113,2011,Female,Hispanic,Mariana,12,76
114,2011,Female,Hispanic,Marilyn,10,78
115,2011,Female,Hispanic,Marisol,10,78
116,2011,Female,Hispanic,Maya,49,42
117,2011,Female,Hispanic,Megan,11,77
118,2011,Female,Hispanic,Melanie,109,12
119,2011,Female,Hispanic,Melany,14,74
120,2011,Female,Hispanic,Melissa,50,41
121,2011,Female,Hispanic,Melody,23,65
122,2011,Female,Hispanic,Mia,229,2
123,2011,Female,Hispanic,Miah,17,71
124,2011,Female,Hispanic,Michelle,51,40
125,2011,Female,Hispanic,Mikaela,14,74
126,2011,Female,Hispanic,Mikayla,26,62
127,2011,Female,Hispanic,Mila,19,69
128,2011,Female,Hispanic,Miley,17,71
129,2011,Female,Hispanic,Miranda,11,77
130,2011,Female,Hispanic,Miriam,11,77
131,2011,Female,Hispanic,Mya,29,59
132,2011,Female,Hispanic,Nadia,14,74
133,2011,Female,Hispanic,Nancy,10,78
134,2011,Female,Hispanic,Naomi,22,66
135,2011,Female,Hispanic,Natalia,50,41
136,2011,Female,Hispanic,Natalie,46,44
137,2011,Female,Hispanic,Nataly,13,75
138,2011,Female,Hispanic,Natasha,11,77
139,2011,Female,Hispanic,Nathalia,10,78
140,2011,Female,Hispanic,Nathalie,26,62
141,2011,Female,Hispanic,Nathaly,20,68
142,2011,Female,Hispanic,Nayeli,17,71
143,2011,Female,Hispanic,Nevaeh,32,56
144,2011,Female,Hispanic,Nicole,71,25
145,2011,Female,Hispanic,Nina,11,77
146,2011,Female,Hispanic,Noemi,11,77
147,2011,Female,Hispanic,Nyla,16,72
148,2011,Female,Hispanic,Olivia,86,18
149,2011,Female,Hispanic,Paola,10,78
150,2011,Female,Hispanic,Penelope,14,74
151,2011,Female,Hispanic,Perla,12,76
152,2011,Female,Hispanic,Rachel,25,63
153,2011,Female,Hispanic,Raquel,11,77
154,2011,Female,Hispanic,Rebecca,10,78
155,2011,Female,Hispanic,Rihanna,21,67
156,2011,Female,Hispanic,Riley,12,76
157,2011,Female,Hispanic,Rosa,10,78
158,2011,Female,Hispanic,Rose,11,77
159,2011,Female,Hispanic,Roselyn,16,72
160,2011,Female,Hispanic,Ruby,20,68
161,2011,Female,Hispanic,Sabrina,25,63
162,2011,Female,Hispanic,Sadie,11,77
163,2011,Female,Hispanic,Samantha,100,14
164,2011,Female,Hispanic,Samara,12,76
165,2011,Female,Hispanic,Sara,29,59
166,2011,Female,Hispanic,Sarah,53,38
167,2011,Female,Hispanic,Sarai,24,64
168,2011,Female,Hispanic,Sariah,10,78
169,2011,Female,Hispanic,Sasha,10,78
170,2011,Female,Hispanic,Savanna,10,78
171,2011,Female,Hispanic,Savannah,38,51
172,2011,Female,Hispanic,Scarlet,29,59
173,2011,Female,Hispanic,Scarlett,65,28
174,2011,Female,Hispanic,Selena,15,73
175,2011,Female,Hispanic,Serenity,37,52
176,2011,Female,Hispanic,Sherlyn,13,75
177,2011,Female,Hispanic,Shirley,15,73
178,2011,Female,Hispanic,Sienna,17,71
179,2011,Female,Hispanic,Skyla,21,67
180,2011,Female,Hispanic,Skylar,12,76
181,2011,Female,Hispanic,Sofia,165,6
182,2011,Female,Hispanic,Sophia,223,3
183,2011,Female,Hispanic,Sophie,12,76
184,2011,Female,Hispanic,Stacy,10,78
185,2011,Female,Hispanic,Stella,11,77
186,2011,Female,Hispanic,Stephanie,50,41
187,2011,Female,Hispanic,Stephany,11,77
188,2011,Female,Hispanic,Tatiana,11,77
189,2011,Female,Hispanic,Taylor,13,75
190,2011,Female,Hispanic,Tiana,11,77
191,2011,Female,Hispanic,Tiffany,24,64
192,2011,Female,Hispanic,Valentina,85,19
193,2011,Female,Hispanic,Valeria,45,45
194,2011,Female,Hispanic,Valerie,53,38
